corridor_id,priority_rank,name,voltage_kv,status,category,anchor_chain,geometry_grade,public_decision,best_source_id,best_source_class,best_source_page_or_sheet,source_quality_score,source_ids,network_feature_count,source_trace_count,manual_trace_count,inferred_connector_count,official_route_km,official_circuit_km,comparison_length_km,network_length_km,length_delta_pct,remaining_gap_count,max_remaining_gap_km,downgrade_reasons,next_action,default_layer_ready,source_coverage_note
mca_central_400,1,Lapsiphedi-Ratmate-Hetauda-Damauli-Butwal 400 kV central corridor,400,Under construction,Domestic backbone,Lapsiphedi -> Ratmate -> Hetauda -> Damauli -> New Butwal substation,route-grade atlas trace,"default-visible, high confidence",mca_annex_d1_alignment_maps,alignment_atlas,"alignment atlas, sheet range pending exact selection",100,"mca_annex_d1_alignment_maps, mca_project_summary_report, nea_annual_report_2024_2025",5,0,5,0,308.65,617.3,308.65,304.586,-1.32,0,0.0,,Resolved in the atlas-trace layer; keep sheet provenance and status under periodic review.,True,"{'manifest_source_ids': ['mca_annex_d1_alignment_maps', 'mca_project_summary_report', 'nea_annual_report_2024_2025'], 'curated_corridor_present': True}"
hddi_400,2,Hetauda-Dhalkebar-Inaruwa 400 kV backbone,400,Partially operational,Domestic backbone,Hetauda -> Dhalkebar -> Inaruwa,route-grade RAP trace,"default-visible, caveated",world_bank_hddtl_rap,rap,candidate route-map page,93,"nea_annual_report_2024_2025, world_bank_hddtl_rap",2,0,2,0,288.0,576.0,288.0,284.483,-1.22,0,0.0,,Resolved into a RAP-controlled public trace with mixed segment status; keep looking for tower/alignment sheets if a higher-precision route becomes available.,True,"{'manifest_source_ids': ['nea_annual_report_2024_2025', 'world_bank_hddtl_rap'], 'curated_corridor_present': True}"
hetauda_bharatpur_bardaghat_220,3,Hetauda-Bharatpur-Bardaghat 220 kV corridor,220,Operational,Domestic backbone,Hetauda -> Bharatpur -> Bardaghat,document-grounded corridor,"default-visible, caveated",rpgcl_transmission_network_map_revised1,geospatial_vector_map,existing/under-construction 220 kV geospatial linework,100,"nea_annual_report_2024_2025, nea_bharatpur_bardaghat_sia, rpgcl_transmission_network_map_revised1",2,0,2,0,146.5,293.0,146.5,143.365,-2.14,0,0.0,,Resolved into two source-controlled public segments; keep searching for a downloadable route map or alignment sheet for future precision.,True,"{'manifest_source_ids': ['nea_annual_report_2024_2025', 'nea_bharatpur_bardaghat_sia', 'rpgcl_transmission_network_map_revised1'], 'curated_corridor_present': True}"
udipur_damauli_bharatpur_220,4,Udipur-Damauli-Bharatpur 220 kV reinforcement,220,Under construction,Hydro evacuation,Udipur -> Damauli -> Bharatpur,route-grade RAP trace,"default-visible, caveated",nea_marsyangdi_rap,rap,Project description and project location map,93,"eib_marsyangdi_cia, nea_annual_report_2024_2025, nea_marsyangdi_rap",1,0,1,0,64.45,,64.45,65.311,1.34,0,0.0,,Resolved from the NEA Marsyangdi RAP trace; keep Khudi-Udipur scope separate until separately sourced.,True,"{'manifest_source_ids': ['eib_marsyangdi_cia', 'nea_annual_report_2024_2025', 'nea_marsyangdi_rap'], 'curated_corridor_present': True}"
marsyangdi_upper_220,5,Marsyangdi Corridor Manang-Khudi-Udipur 220 kV,220,Under construction,,,document-grounded corridor,"default-visible, caveated",nea_marsyangdi_rap_upper,rap,"Project location, district, project-area, and accessibility maps",93,nea_marsyangdi_rap_upper,1,0,1,0,46.0,,46.0,40.385,-12.21,0,0.0,,Keep as document-grounded; validate branch endpoints against upper Marsyangdi RAP and EIB CIA.,True,"{'manifest_source_ids': ['nea_marsyangdi_rap_upper'], 'curated_corridor_present': False}"
kabeli_132,6,Kabeli / Godak-Soyak-Amarpur 132 kV corridor,132,Under construction,,,document-grounded corridor,"default-visible, caveated",nea_kabeli_iee,iee,"Figure 2.1-2.3 location, district/VDC, and alignment-summary pages",89,"nea_annual_report_2024_2025, nea_kabeli_iee, nea_kabeli_smef",3,0,3,0,83.74,,83.74,94.112,12.39,0,0.0,,Digitize branch structure from the Kabeli IEE route figures; keep Godak and Phidim/Amarpur branches explicit.,True,"{'manifest_source_ids': ['nea_annual_report_2024_2025', 'nea_kabeli_iee', 'nea_kabeli_smef'], 'curated_corridor_present': False}"
solu_tingla_mirchaiya_132,7,Solu Corridor Tingla-Mirchaiya 132 kV,132,Operational,Hydro evacuation,Tingla -> Mirchaiya,document-grounded corridor,default-visible with explicit QA warning,nea_transmission_annual_book_2077,annual_book,Tingla substation and Solu Corridor project narrative pages,68,"nea_annual_report_2024_2025, nea_transmission_annual_book_2077",1,0,1,0,90.0,,90.0,78.844,-12.4,0,0.0,,Search for route-grade IEE/RAP/alignment material; keep 90 route-km vs 180 circuit-km caveat until resolved.,True,"{'manifest_source_ids': ['nea_annual_report_2024_2025', 'nea_transmission_annual_book_2077'], 'curated_corridor_present': True}"
western_132_backbone,8,Western Nepal 132 kV backbone,132,Operational,,,document-grounded corridor,"default-visible, caveated",rpgcl_transmission_network_map_revised1,geospatial_vector_map,existing 132 kV geospatial linework,100,"nea_annual_report_2024_2025, rpgcl_transmission_network_map_revised1",3,0,3,0,404.89,809.78,404.89,418.149,3.27,0,0.0,,Keep as operational 132 kV backbone context; upgrade only if a higher-resolution NEA/utility route packet becomes available.,True,"{'manifest_source_ids': ['nea_annual_report_2024_2025', 'rpgcl_transmission_network_map_revised1'], 'curated_corridor_present': False}"
chameliya_attariya_132,9,Chameliya-Syaule-Attariya 132 kV line,132,Operational,,,document-grounded corridor,"default-visible, caveated",rpgcl_transmission_network_map_revised1,geospatial_vector_map,existing 132 kV geospatial linework,100,"nea_annual_report_2024_2025, rpgcl_transmission_network_map_revised1",1,0,1,0,131.0,262.0,131.0,129.506,-1.14,0,0.0,,Keep as operational far-west hydro evacuation context; verify future Chameliya-Jauljibi interface separately from this domestic 132 kV line.,True,"{'manifest_source_ids': ['nea_annual_report_2024_2025', 'rpgcl_transmission_network_map_revised1'], 'curated_corridor_present': False}"
kohalpur_surkhet_dailekh_132,10,Kohalpur-Surkhet-Dailekh 132 kV grid reach,132,Under construction,,,document-grounded corridor,"default-visible, caveated",rpgcl_transmission_network_map_revised1,geospatial_vector_map,"Kohalpur, Surkhet, and Dailekh map labels",100,"nea_annual_report_2024_2025, rpgcl_transmission_network_map_revised1",1,0,1,0,84.0,168.0,84.0,76.144,-9.35,0,0.0,,Track construction status until energised; keep visually distinct from operational western 132 kV backbone.,True,"{'manifest_source_ids': ['nea_annual_report_2024_2025', 'rpgcl_transmission_network_map_revised1'], 'curated_corridor_present': False}"
dana_kushma_butwal_220,99,Dana-Kushma-New Butwal 220 kV corridor,220,Operational,Hydro evacuation,Dana substation -> Kushma substation -> New Butwal substation,document-grounded corridor,"default-visible, caveated",rpgcl_transmission_network_map_revised1,geospatial_vector_map,existing/under-construction 220 kV geospatial linework,100,"nea_annual_report_2024_2025, nea_transmission_annual_book_2077, rpgcl_transmission_network_map_revised1",2,0,2,0,127.57,255.6,127.57,128.027,0.36,0,0.0,,Monitor status/source freshness.,True,"{'manifest_source_ids': ['nea_annual_report_2024_2025', 'nea_transmission_annual_book_2077', 'rpgcl_transmission_network_map_revised1'], 'curated_corridor_present': True}"
khimti_dhalkebar_220,99,Khimti-Dhalkebar 220 kV hydro corridor,220,Operational,Hydro evacuation,Khimti -> Dhalkebar,conceptual / not traced,context-only until route-grade source exists,,,,0,,0,0,0,0,,,,,,0,0.0,,Recover a route-grade source before moving into the connected traced network.,False,{}
